NodeName1,NodeName2,NodeName3,NodeName4,NodeName5,NodeName6,ParentName,PathName,NodeID,ParentID,NodeName,Current,Goal,PNT,Legend,Function,TierOrder,TreeType,NodeColor,HasValueFlag,Depth,IsInValuablePath,IsInYellowPath,IsYellowLeaf,IsGreenConnected,IsInRedPath,IsTYCOMPath,IsPMPath,IsSYSCOMPath,IsRSPath,IsCOMFRCPath,HasValueFlag_Clean,CombinedFlag,CombinedFlagLabel,CombinedYellowFlag,CombinedYellowFlagLabel
CH-53E Sustainment Performance Driver Tree,,,,,,,CH-53E Sustainment Performance Driver Tree,10100,0,CH-53E Sustainment Performance Driver Tree,1,2,Positive,,Goal,0,CH-53E,Red,0,1,1,1,0,0,1,1,1,1,1,1,0,1,In Path,1,In Yellow Path
CH-53E Sustainment Performance Driver Tree,Mission Capable,,,,,CH-53E Sustainment Performance Driver Tree,CH-53E Sustainment Performance Driver Tree\Mission Capable,10101,10100,Mission Capable,57.4,64,Positive,TYCOM,Tier 1,1,CH-53E,Red,0,2,0,0,0,0,1,1,0,0,0,0,0,0,Other,0,Other
CH-53E Sustainment Performance Driver Tree,Full Mission Capable,,,,,CH-53E Sustainment Performance Driver Tree,CH-53E Sustainment Performance Driver Tree\Full Mission Capable,10102,10100,Full Mission Capable,21.5,41,Positive,TYCOM,Tier 1,1,CH-53E,Red,0,2,0,0,0,0,1,1,0,0,0,0,0,0,Other,0,Other
CH-53E Sustainment Performance Driver Tree,T-Rating,,,,,CH-53E Sustainment Performance Driver Tree,CH-53E Sustainment Performance Driver Tree\T-Rating,10103,10100,T-Rating,1,2,Negative,TYCOM,Tier 1,1,CH-53E,Green,1,2,1,1,0,1,1,1,1,1,0,1,1,2,Valuable + In Path,1,In Yellow Path
CH-53E Sustainment Performance Driver Tree,Operational Aircraft Required,,,,,CH-53E Sustainment Performance Driver Tree,CH-53E Sustainment Performance Driver Tree\Operational Aircraft Required,10104,10100,Operational Aircraft Required,91,90,Positive,TYCOM,Tier 1,1,CH-53E,Green,1,2,0,0,0,1,0,1,0,0,0,0,1,1,Valuable,0,Other
CH-53E Sustainment Performance Driver Tree,Total Active Inv (TAI),,,,,CH-53E Sustainment Performance Driver Tree,CH-53E Sustainment Performance Driver Tree\Total Active Inv (TAI),10105,10100,Total Active Inv (TAI),118,113,Positive,RS (HQMC),Tier 1,1,CH-53E,Green,1,2,0,0,0,1,0,0,0,0,1,0,1,1,Valuable,0,Other
CH-53E Sustainment Performance Driver Tree,T-Rating,Not-Mission Capable Supply (NMCS),,,,T-Rating,CH-53E Sustainment Performance Driver Tree\T-Rating\Not-Mission Capable Supply (NMCS),10106,10103,Not-Mission Capable Supply (NMCS),15,13,Negative,TYCOM,Tier 2,2,CH-53E,Red,0,3,1,1,0,0,1,1,1,1,0,0,0,1,In Path,1,In Yellow Path
CH-53E Sustainment Performance Driver Tree,T-Rating,Not-Mission Capable Maintenance (NMCM),,,,T-Rating,CH-53E Sustainment Performance Driver Tree\T-Rating\Not-Mission Capable Maintenance (NMCM),10107,10103,Not-Mission Capable Maintenance (NMCM),14,12,Negative,TYCOM,Tier 2,2,CH-53E,Red,0,3,1,1,0,0,1,1,1,1,0,0,0,1,In Path,1,In Yellow Path
CH-53E Sustainment Performance Driver Tree,T-Rating,PMCS,,,,T-Rating,CH-53E Sustainment Performance Driver Tree\T-Rating\PMCS,10108,10103,PMCS,20,12,Negative,TYCOM,Tier 2,2,CH-53E,Red,0,3,1,1,0,0,1,1,1,1,0,0,0,1,In Path,1,In Yellow Path
CH-53E Sustainment Performance Driver Tree,T-Rating,PMCM,,,,T-Rating,CH-53E Sustainment Performance Driver Tree\T-Rating\PMCM,10109,10103,PMCM,17,12,Negative,TYCOM,Tier 2,2,CH-53E,Red,0,3,1,1,0,0,1,1,1,1,0,0,0,1,In Path,1,In Yellow Path
